timestamp,price,volume,MA20,MA50,MA200,event
2022-07-08,21594.75,403081.57349,20493.5385,25013.541999999998,36857.5546,
2022-07-09,21591.83,178417.84468,20544.43,24861.358399999997,36721.06435,
2022-07-10,20862.47,192188.21556,20558.859000000004,24689.7066,36582.4359,
2022-07-11,19963.61,137535.40724,20520.8635,24483.1,36428.0599,
2022-07-12,19328.75,139506.45862,20487.9015,24287.492000000002,36270.603650000005,
2022-07-13,20234.87,209250.24888,20444.1385,24099.0978,36119.7797,
2022-07-14,20588.84,174809.21696,20411.696,23920.031600000002,35968.84645,
2022-07-15,20830.04,143343.3049,20378.6385,23752.6054,35819.48945,
2022-07-16,21195.6,121011.67393,20386.515,23603.921399999996,35687.74875,
2022-07-17,20798.16,118229.4525,20389.295000000002,23439.258,35559.41625,
2022-07-18,22432.58,239942.73132,20496.8595,23298.547599999998,35435.974799999996,
2022-07-19,23396.62,263770.76574,20660.54,23131.7956,35321.873250000004,
2022-07-20,23223.3,238762.17094,20824.5945,22960.2408,35199.3765,
2022-07-21,23152.19,184817.68191,21018.214,22827.168,35078.706549999995,
2022-07-22,22684.83,171598.43966,21189.815,22671.8122,34959.900200000004,
2022-07-23,22451.07,122137.77375,21346.576999999997,22526.8294,34842.9955,
2022-07-24,22579.68,115189.67277,21463.7255,22381.142200000002,34738.638249999996,
2022-07-25,21310.9,180344.76643,21520.479,22208.976000000002,34629.7812,
2022-07-26,21254.67,177817.24326,21554.987,22006.607399999997,34528.22215,
2022-07-27,22952.45,210971.19796,21621.360500000003,21843.149800000003,34434.5857,
2022-07-28,23842.93,236029.0741,21733.769500000002,21715.913000000004,34344.47725,
2022-07-29,23773.75,198298.50623,21842.8655,21589.1894,34254.23355,
2022-07-30,23643.51,151060.13211,21981.9175,21480.222,34158.80465,
2022-07-31,23293.32,127743.32483,22148.403,21377.594399999998,34055.75795,
2022-08-01,23268.01,144210.16219,22345.366,21311.464,33959.29745,
2022-08-02,22987.79,158073.28225,22483.012,21321.4716,33858.9366,
2022-08-03,22818.37,145948.80995,22594.4885,21335.110800000002,33757.607,
2022-08-04,22622.98,154854.67016,22684.135499999997,21335.896,33655.363600000004,
2022-08-05,23312.42,175251.69749,22789.9765,21394.118199999997,33560.9176,
2022-08-06,22954.21,83911.80307,22897.779,21443.826199999996,33463.92805,
2022-08-07,23174.39,88890.00877,22934.8695,21527.898200000003,33371.49995,
2022-08-08,23810.0,170958.44152,22955.538500000002,21592.618200000004,33287.1454,
2022-08-09,23149.95,143182.50858,22951.871,21644.1394,33220.6686,
2022-08-10,23954.05,208916.54953,22991.964,21708.75,33165.08175,
2022-08-11,23934.39,249759.79557,23054.442000000003,21787.678,33103.53095,
2022-08-12,24403.68,174207.5704,23152.072500000002,21853.549,33042.2476,
2022-08-13,24441.38,152852.25435,23245.1575,21917.622799999997,32979.6629,
2022-08-14,24305.24,151206.14473,23394.874499999998,21973.9038,32917.142400000004,
2022-08-15,24094.82,242539.54758,23536.882,22035.038800000002,32851.816,
2022-08-16,23854.74,179324.94821,23581.9965,22097.282400000004,32782.5069,
2022-08-17,23342.66,210668.68766,23556.983,22158.5098,32708.386000000002,
2022-08-18,23191.2,144185.97011,23527.855499999998,22219.8736,32634.933200000003,
2022-08-19,20834.39,283995.87747,23387.3995,22237.717200000003,32546.77065,
2022-08-20,21140.07,183041.68363,23279.737,22274.922599999998,32458.998050000002,
2022-08-21,21515.61,159200.6841,23192.117,22320.1786,32382.094299999997,
2022-08-22,21399.83,222222.04526,23112.719,22361.858600000003,32302.5354,
2022-08-23,21529.12,200967.77164,23048.2565,22387.706799999996,32202.30975,
2022-08-24,21368.08,174383.22046,22985.5115,22411.5518,32102.237199999996,
2022-08-25,21559.04,169915.78301,22897.8425,22431.442400000004,31998.128050000003,
2022-08-26,20241.05,273811.61955,22762.1845,22403.763800000004,31880.13335,
2022-08-27,20037.6,162582.46032,22605.345,22372.6208,31760.1064,
